seller_id,total_orders,total_products_sold,avg_price,avg_freight,total_revenue,avg_review_score,seller_zip_code_prefix,seller_city,seller_state,profitable
03a2a6dcbe45d639c4dc2a0d24769c40,9,9,119.82333333333334,19.13888888888889,1250.66,4.111111111111111,9340,maua,SP,0
03bd479e1d9484cdb14104d3023f7321,3,3,119.90000000000002,19.24,596.41,4.333333333333333,38401,uberlandia,MG,0
0417b067eeab773d2f7061a726dc477f,13,14,138.48357142857142,47.409285714285716,2501.75,4.0,89288,sao bento do sul,SC,1
042573af89b6d931f672efaf789d8358,3,4,117.995,19.25,478.57,4.0,18015,sorocaba,SP,0
04308b1ee57b6625f47df1d56f00eedf,94,94,639.6872340425532,32.49351063829787,63184.99,3.882978723404255,88215,bombinhas,SC,1
0432ead42b6c8a0bdf68154add917fdf,85,95,85.17473684210526,13.200631578947368,10455.7,4.505263157894737,9320,maua,SP,1
044668ccd5316b12a7cf0d54a156e3e9,3,5,34.626,14.38,275.28999999999996,5.0,6016,osasco,SP,0
04843805947f0fc584fc1969b6e50fe7,1,2,700.0,37.38,2949.52,5.0,93900,ivoti,RS,1
048c2757535328e0d7dac690ad3c0aae,51,53,179.648679245283,25.09245283018868,10551.06,4.211538461538462,14406,franca,SP,1
04aa0a1c5ce6b222003403a3e11c3cc0,11,17,324.5882352941176,48.32411764705882,14477.19,3.5294117647058822,13150,cosmopolis,SP,1
04aba03279157f6d4e0fe8ccaf21963c,16,16,160.99375,21.651875,2922.33,4.3125,28470,santo antonio de padua,RJ,1
04e38a233f726ef161074ab1c9b0399a,23,29,49.96896551724138,16.263793103448275,2468.73,3.8275862068965516,1239,sao paulo,SP,1
04ee0ec01589969663ba5967c0e0bdc0,1,1,289.49,24.83,314.32,5.0,95910,lajeado,RS,0
04fdea0c111866e6cf812f1570d6b5bd,10,10,105.5,20.695,1261.95,3.2,8411,sao paulo,SP,1
0509040ea3fe50071181bbc359eb7738,89,102,37.75637254901961,14.730882352941176,6114.06,4.49,31710,belo horizonte,MG,1
052577151711aec5c744fe12e66db3e1,4,4,687.0,55.605,2970.42,2.25,89136,rodeio,SC,1
054694fa03fe82cec4b7551487331d74,21,22,453.77727272727276,32.75681818181818,11588.36,3.3636363636363638,15840,itajobi,SP,1
056b4ada5bbc2c50cc7842547dda6b51,65,66,186.86954545454546,19.78818181818182,13988.51,4.123076923076923,26379,queimados,RJ,1
0570350b23eda5444f8d1d9544932058,6,11,56.99090909090909,11.350909090909092,2169.96,5.0,5104,sao paulo,SP,1
05730013efda596306417c3b09302475,4,4,238.0,54.1675,1168.67,5.0,88813,criciuma,SC,0
058cb5aeb36d7c0fcae20fc85d5e0a59,12,13,102.15384615384616,59.95538461538461,2226.0,3.3846153846153846,21635,rio de janeiro,RJ,1
058fd0aa2bfdb2274e05e1ae971dabb6,61,66,119.54393939393938,13.81,9455.86,4.348484848484849,9020,santo andre,SP,1
05a48cc8859962767935ab9087417fbb,1,1,42.9,16.49,59.39,5.0,5372,sao paulo,SP,0
05a940b4ecae36cadfd8e93bd9c43257,10,10,95.2,19.694,1148.94,3.9,74305,goiania,GO,0
05aebce0b5c8f0d41b29b686f2d05fd3,2,2,37.495000000000005,22.945,120.88,5.0,3962,sao paulo,SP,0
05ca864204d09595ae591b93ea9cf93d,1,1,179.9,8.52,188.42,5.0,6465,barueri,SP,0
05d2173d43ea568aa0540eba70d2ca76,62,67,86.16014925373133,25.25,8262.74,4.015384615384615,37135,alfenas,MG,1
05e107217c7266362fd44b75b2cd4cc4,5,8,24.1725,10.251249999999999,405.31,4.125,5353,sao paulo - sp,SP,0
05f51e13da97139648b8125c31e5f51b,60,63,218.5557142857143,32.05222222222222,17969.32,4.095238095238095,31910,belo horizonte,MG,1
05feb94f19d094d4b0f9281f0b1d4c99,6,7,1573.7142857142858,109.15428571428572,10050.04,4.571428571428571,8752,mogi das cruzes,SP,1
05ff92fedb5be47920fea08e501238b9,59,66,354.06636363636363,29.224393939393938,26890.3,4.136363636363637,98803,santo angelo,RS,1
062c325cd6a2b87845fab56b4ec2eeae,2,2,66.61,11.93,157.07999999999998,5.0,8150,sao paulo,SP,0
062ce95fa2ad4dfaedfc79260130565f,55,62,122.65806451612903,19.782258064516128,10730.16,4.0,95913,lajeado,RS,1
06532f10282704ef4c69168b914b77be,8,37,573.2945945945946,68.39351351351351,11634.64,1.7837837837837838,87140,paincandu,PR,1
06579cb253ecd5a3a12a9e6eb6bf8f47,62,73,65.71369863013699,20.700547945205482,8732.91,3.7260273972602738,4007,sao paulo - sp,SP,1
